Ã­,TC-1-F :: Registration - With Google account,,Fail,
#,Actions,Expected Result,Expected Failure,
1,Go to the site http://www.vtaas-benchmark.com:9999/,"The site's home page is displayed on the ""Postmill"" tab.
In the header you can also see: 
- 4 other available tabs: Forums, Wiki, Login and Register
- a search field
The ""Posmill"" page contains: Submissions (underlined), Comments, a default filter on ""Featured"" and a default sort on ""Hot"".",,
2,Click on Sign Up,"A ""Sign Up"" title page appears.
It contains:
A mandatory ""Username"" field, followed by a sentence indicating the characters allowed.
A ""Password"" field followed by another field pasted below ""(repeat)"" followed by a sentence indicating the expected characteristics.
An optional e-mail address field followed by a sentence indicating that it will only be used to reset the password
A sign-up button
A link ""Register with your Google account""",Reason for failure: Sign-up via Google is not implemented.,
3,"Click on ""Register with your Google account""",a pop-up appears with a message about choosing a Google account,,
4,Choose your Google test account,A registration confirmation prompt appears,,
,,,,
,,,,
??TC-2-F :: Login and access to my Profile page then on Premium subscribtion page,,Fail,,
#,Actions,Expected Result,Expected Failure,
1,Go to the site http://www.vtaas-benchmark.com:9999/ and log in with account MarvelsGrantMan136 / test1234,"The Postmill page is displayed with ""MarvelsGrantMan136"" is displayed as connectd user in the menu bar at the top of the page",,
2,"In the user drop-down menu, click on ?œProfile??","A list of user post is displayed, and a User zone with the User Id, the duration of the registration, and a ?œPremium??button","Reason for failure: no ""Premium"" button
Business Rule: A Premium subscription is proposed to the free users",
3,"Click on the ""Premium"" button",The Premium subscription page is displayed.,,
,,,,
??TC-3-F :: User notification page with a notification about last connexion,,Fail,,
#,Actions,Expected Result,Expected Failure,
1,"Go to the site http://www.vtaas-benchmark.com:9999/ and log in with account MarvelsGrantMan136 / test1234 - click on the ""Keep me logged in"" box",Your are logged in with user name in the top menu bar.,,
2,"In the top menu bar, click on the email symbol (notification)",The notification page is displayed with a non empty list of notifications,"Reason for failure: there are no entried to display, so the ""non empty list"" should fail
Business Rule: When login a notification appears about the last login date",
3,Click on the first notification message on the page,The selected notification is displayed,,
,,,,
??TC-4-F :: Create submission - Body field error message when empty,,Fail,,
#,Actions,Expected Result,Expected Failure,
1,Go to the site http://www.vtaas-benchmark.com:9999/ and log in with account MarvelsGrantMan136 / test1234,Your are logged in with user name in the top menu bar.,,
2,Click on the header +Submit,The page Create submission is displayed,,
3,"Create a submission:
Enter https://example.com/test-article in the ""URL"" field
Fill the ""Title"" field with New Features in Web Development
Select Technology from the ""Forum"" dropdown
Click the ""Create submission"" button
","An error message should appear, as the ""Body"" field is required.",Reason for failure: the Body is not required in the current version so no message would appear,
4,"Fill the ""Body"" field with This article discusses the latest web trends.
Click the ""Create submission"" button",The post is displayed with the title and body,,
,,,,
??TC-5-F :: Create forum - error message on Title too short,,Fail,,
#,Actions,Expected Result,Expected Failure,
1,Go to the site http://www.vtaas-benchmark.com:9999/ and log in with account MarvelsGrantMan136 / test1234,Your are logged in with user name in the top menu bar.,,
2,Click on the header Forums,The list of forums is displayed,,
3,"Click on the ""Create forum"" button","The page ""Create new forum"" is displayed",,
