,,,
►,TC-1-F :: Check the availability of the check list when not logged in,,Fail
#,Actions,Expected Result,Expected Failure
1,Go to http://www.vtaas-benchmark.com:7770/,The OneStopMarket page appears,
2,Log in with the following details: emma.lopez@gmail.com / Password.1234,"An error message is displayed: ""The account sign-in was incorrect""",
3,Go to My Wish List,"The message ""You have 2 items in your wish list."" is displayed.",Not logged in so it should be login page displayed
4,"Select the ""Sports & Outdoors"" category and the ""Sports"" sub-category","The ""Sports"" page appears",
5,Click on the heart symbol of any item.,"The ""My Wish List"" page is displayed, with the selected item.",
6,"Click on ""Remove item"".","The message ""You have no items in your wish list."" is displayed.",
,,,
►,TC-2-F :: Automatic update of the wish list listings on quantity attributes,,Fail
#,Actions,Expected Result,Expected Failure
1,Go to http://www.vtaas-benchmark.com:7770/,The OneStopMarket page appears,
2,Log in with the following details: emma.lopez@gmail.com / Password.123,"You are logged in and the message Welcome, Emma Lopez! is displayed",
3,Go to My Wish List,"The ""My Wish List"" page is displayed",
4,Choose an article in the Wish List and change its quantity,The quantity is updated,
5,Refresh the page,The quantity is still updated,New behaviour of the application without the update wish list button
6,,Check if the update wish list button is not in the page,
,,,
►,TC-3-F :: Adding a review to a whishlisted article,,Fail
#,Actions,Expected Result,Expected Failure
1,Go to http://www.vtaas-benchmark.com:7770/,The OneStopMarket page appears,
2,Log in with the following details: emma.lopez@gmail.com / Password.123,"You are logged in and the message Welcome, Emma Lopez! is displayed",
3, "Go to the Home Page and add an item to the wish list by clicking on a heart", "The item appears in My Whish List",
4,Go to My Wish List,"The ""My Wish List"" page is displayed",
5,"Choose the article in the Wish List and click on ""Edit""",The details of the wishlisted article are displayed,
6,Click on the Review Tab at the bottom,The Review Tab is displayed,
7,"Fill the following field:
 - ""Your Rating""
 - ""Nickname""
 - ""Summary""
 - ""Review""
Click on the ""Submit Review"" button.","A green message: ""the review has been added"" is displayed",Changed the application behaviour to not require moderation for the review submission
8,Go to My Wish List,"The ""My Wish List"" page is displayed",
9,Choose an article in the Wish List and click on its image,The details of the wishlisted article are displayed,
10,Click on the Review Tab at the bottom,The Review Tab is displayed with the new review,
,,,
►,"TC-4-F :: Wish List - Add two items to the Wish List and then to the cart using the ""Add All to Cart"" button",,Fail
#,Actions,Expected Result,Expected Failure
1,Go to http://www.vtaas-benchmark.com:7770/,The OneStopMarket page appears,
2,Log in with the following details: emma.lopez@gmail.com / Password.123,"You are logged in and the message Welcome, Emma Lopez! is displayed",
3,Go to My Whish List,"The message ""You have no items in your wish list."" is displayed.",
4,"Select the ""Home & Kitchen"" category and the ""Bedding"" sub-category and the ""Kids' Bedding"" sub-sub-category.","The ""kids bedding"" page appears",
5,Click on the heart icon of the first item in the list.,"The heart is now red and the message ""1 item"" is displayed next to My Wish List at the top of the page",Changed the behaviour so that it does not go to my wish list but instead put the heart red
6,Click on the heart icon of the third item in the list.,You have 2 items on your Wish List and are still on the kids bedding page,
