,,
►,TC-1-P :: Wish List - Add and remove,
#,Actions,Expected Result
1,Go to http://www.vtaas-benchmark.com:7770/,The OneStopMarket page appears
2,Log in with the following details: emma.lopez@gmail.com / Password.123,"You are logged in and the message ""Welcome, Emma Lopez!"" is displayed"
3,Go to My Whish List,"The message ""You have no items in your wish list."" is displayed."
4,"Select the ""Sports & Outdoors"" category and the ""Sports"" sub-category","The ""Sports"" page appears"
5,Click on the heart symbol of any item.,"The ""My Wish List"" page is displayed, with the selected item."
6,"Click on ""Remove item"".","The message ""You have no items in your wish list."" is displayed."
,,
►,"TC-2-P :: Wish List - Add two items to the Whish List and then to the cart using the ""Add All to Cart"" button",
#,Actions,Expected Result
1,Go to http://www.vtaas-benchmark.com:7770/,The OneStopMarket page appears
2,Log in with the following details: emma.lopez@gmail.com / Password.123,"You are logged in and the message Welcome, Emma Lopez! is displayed"
3,Go to My Whish List,"The message ""You have no items in your wish list."" is displayed."
4,"Select the ""Home & Kitchen"" category and the ""Bedding"" sub-category and the ""Kids' Bedding"" sub-sub-category.","Kids' Bedding"" page is displayed"
5,Click on the heart icon of the first item in the list.,The item appears in My Whish List
6,"Select the ""Home & Kitchen"" category and the ""Bedding"" sub-category and the ""Kids' Bedding"" sub-sub-category.","Kids' Bedding"" page displayed"
7,Click on the heart icon of the third item in the list.,You have 2 items on your Wish List
8,"Add both items to the Cart with the ""Add All to Cart"" button","Two error messages appear, indicating that options are required. You are still on the ""My Whish List"" page"
9,Remove the two items for the Wish List.,"The message ""You have no items in your wish list."" is displayed."
10,Sign out,"The message ""You are Signed out"" appears then after 5 seconds the Home page is displayed."
,,
►,TC-3-P :: Product Selection and Cart Verification ,
#,Actions,Expected Result
1,Navigate to One Stop Market website at http://www.vtaas-benchmark.com:7770/,Home page loads with category navigation menu visible
2,"Click on ""Sports & Outdoors"" > ""Exercise & Fitness""",Exercise & Fitness category page loads 
3,Scroll down and click on LEIYAN Mens Linen Shorts,"Product page loads with details, price ($11.89), and options visible"
4,"Choose Color ""01-blue"" and Size ""Medium""",Options are selected and reflected in the UI
5,"Set Quantity to 1 and click ""Add to Cart""","Confirmation message appears: ""You added LEIYAN Mens Linen Shorts... to your shopping cart."""
6,Navigate to Shopping Cart page,Cart page loads showing the added item with correct details and pricing
7,"Review cart contents:
Item: LEIYAN Mens Linen Shorts
Color: 01-blue
Size: Medium
Quantity: 1
Price: $11.89
Subtotal: $11.89
Shipping: $5.00 (Flat Rate - Fixed)
Order Total: $16.89",All features are correct
,,
►,"TC-4-P :: Attempt to create an account, already existing",
#,Actions,Expected Result
1,Navigate to One Stop Market website at http://www.vtaas-benchmark.com:7770/,"Home page loads with ""Create an Account"" link visible"
2,"Click on ""Create an Account"" link",Create New Customer Account loads
3,"Complete Account Form by filling in:
First Name: Emma
Last Name: Lopez
Email: emma.lopez@gmail.com
Password: Password123
Confirm Password: Password123
Check ""Sign Up for Newsletter""
Check ""Show Password""","All fields populate correctly, password strength shows as ""Very Strong"""
4,"Click ""Create an Account""","Error message appears, indicating that the account already exists"
,,
►,TC-5-P :: Connection,
#,Actions,Expected Result
1,"Type ""http://www.vtaas-benchmark.com:7770/"" on the url bar.
And click on ""Enter"".","The Welcome page of web ""OneStopShop"" is displayed."
2,"Enter Email and Password fields.  (emma.lopez@gmail.com and Password.123)
Click on the buton ""Sign In"".","I'm connected on the website. The screen ""My Account"" is displayed. 
The message ""Welcome, Emma Lopez!"" is displayed at the right on the top of the page."
,,
►,TC-6-P :: Disconnection,
#,Actions,Expected Result
1,"Type ""http://www.vtaas-benchmark.com:7770/"" on the url bar.
And click on ""Enter"".","The Welcome page of web ""OneStopShop"" is displayed."
